SPEC,LL0,LL,K,N,AIC,BIC,rho2,rho2bar,VoT_generic,HitRate,VoT_PT,VoT_CAR,VoT_LI,VoT_HI,VoT_PT_LI,VoT_PT_HI,VoT_CAR_LI,VoT_CAR_HI,VoT_MI,VoT_PT_MI,VoT_CAR_MI,VoT_INC_1,VoT_INC_2,VoT_INC_3,VoT_INC_4,VoT_INC_5,VoT_INC_6,VoT_PT_INC_1,VoT_CAR_INC_1,VoT_PT_INC_2,VoT_CAR_INC_2,VoT_PT_INC_3,VoT_CAR_INC_3,VoT_PT_INC_4,VoT_CAR_INC_4,VoT_PT_INC_5,VoT_CAR_INC_5,VoT_PT_INC_6,VoT_CAR_INC_6
TIME_COST_SPECIFIC,-1039.7207708399187,-698.3212638807883,5,1500,1406.6425277615765,1433.208629697028,,,,0.7993333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_SPECIFIC_COST_GENERIC,-1039.7207708399187,-702.8961337064793,4,1500,1413.7922674129586,1435.04514896132,,,,0.7926666666666666,-0.1914437381100629,-0.4905666974543498,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_GENERIC_COSTxRENDA_LMH_SPECIFIC,-1039.7207708399187,-704.2984458052563,8,1500,1424.5968916105126,1467.102654707235,,,,0.7886666666666666,,,,,-0.060458904979263546,-0.11600421123497426,-0.02283971947743517,-0.061896726851499176,,-0.24318890890315065,-0.08124741989367604,,,,,,,,,,,,,,,,,,
TIME_GENERIC_COST_SPECIFIC,-1039.7207708399187,-718.92837171069,4,1500,1445.85674342138,1467.1096249697414,,,,0.7873333333333333,-0.16252065358668824,-0.06739068531571211,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_GENERIC_COSTxRENDA_ALLFAIXAS_SPECIFIC,-1039.7207708399187,-696.415637058271,14,1500,1420.831274116542,1495.2163595358063,,,,0.792,,,,,,,,,,,,,,,,,,-0.03801233816036237,-0.017685429461539594,-0.06774020554484807,-0.0245656987186808,-0.7457150848344312,-0.1324489334601073,-0.15002565057730566,-0.05779020610377634,-0.1609593659692141,-0.07079877353793636,-0.09211083474837957,-0.05754577841251679
TIME_GENERIC_COSTxRENDA_LH_SPECIFIC,-1039.7207708399187,-744.0412060681914,6,1500,1500.0824121363828,1531.9617344589246,,,,0.778,,,,,-0.05082261569814391,-0.09528929795276384,-0.020466810171989522,-0.0562797246642571,,,,,,,,,,,,,,,,,,,,,
TIME_COST_GENERIC,-1039.7207708399187,-762.1971936359168,3,1500,1530.3943872718337,1546.3340484331045,,,-0.05558436875414423,0.7713333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME_COSTxRENDA_LMH_GENERIC,-1039.7207708399187,-759.5402915089076,5,1500,1529.0805830178151,1555.6466849532667,,,,0.7746666666666666,,,-0.06776050740111797,-0.04251442765709435,,,,,-0.06944439175502193,,,,,,,,,,,,,,,,,,,,
TIME_GENERIC_COSTxRENDA_ALLFAIXAS_GENERIC,-1039.7207708399187,-751.551769608533,8,1500,1519.103539217066,1561.6093023137885,,,,0.7753333333333333,,,,,,,,,,,,-0.018935347228581683,-0.15217156375991012,-0.11405788831401592,-0.05274088248944031,-0.06056326363624509,-0.03475205915709664,,,,,,,,,,,,
TIME_COSTxRENDA_LH_GENERIC,-1039.7207708399187,-784.1702046793308,4,1500,1576.3404093586616,1597.593290907023,,,,0.7646666666666667,,,-0.11888906817601495,-0.06886741767297794,,,,,,,,,,,,,,,,,,,,,,,,,
